iter	Logloss
0	0.6741273248
1	0.6574982803
2	0.6430969865
3	0.629499099
4	0.617797367
5	0.6069583666
6	0.597347329
7	0.5890434822
8	0.5812529575
9	0.5744872305
10	0.5685147124
11	0.5627335171
12	0.557648308
13	0.5532120525
14	0.5487203126
15	0.5441889722
16	0.5406270073
17	0.5373133719
18	0.5341280881
19	0.5313581321
20	0.5289734865
21	0.5263996577
22	0.5238111359
23	0.5218993048
24	0.5197142578
25	0.5180038689
26	0.5158974608
27	0.5143426462
28	0.512835285
29	0.5107532752
30	0.5093066002
31	0.5079621611
32	0.5062801506
33	0.5052095754
34	0.5041751559
35	0.5031353541
36	0.5020531102
37	0.5010953295
38	0.499780186
39	0.4987350916
40	0.4975851317
41	0.4967483554
42	0.4960049689
43	0.4952559373
44	0.4945346226
45	0.4935594261
46	0.4926797617
47	0.4919737844
48	0.4913011276
49	0.4903766019
50	0.4897496227
51	0.4890818414
52	0.488383072
53	0.4879028897
54	0.4872509603
55	0.4864944222
56	0.4857675322
57	0.4852893379
58	0.4846830169
59	0.4840882478
60	0.4836187282
61	0.4829274708
62	0.4825137769
63	0.4821013523
64	0.4816731749
65	0.4811485692
66	0.4806304598
67	0.4801412133
68	0.4796752684
69	0.4792379587
70	0.478916747
71	0.4785984191
72	0.4782020115
73	0.4778414339
74	0.4774449785
75	0.4771319051
76	0.4767708282
77	0.4764963507
78	0.4759708093
79	0.4757105968
80	0.4754257961
81	0.4750710496
82	0.4747621225
83	0.4744577194
84	0.4742085108
85	0.4739346376
86	0.4735843899
87	0.4733096484
88	0.47293185
89	0.4726233395
90	0.4723531241
91	0.4719405314
92	0.4717044408
93	0.4715130307
94	0.4712385514
95	0.4709718006
96	0.470738453
97	0.4704995051
98	0.4702859482
99	0.4699408836
100	0.4697301033
101	0.4694383484
102	0.4691635795
103	0.4688028705
104	0.468561643
105	0.4683681315
106	0.4681730127
107	0.4679414589
108	0.4676140595
109	0.4674474443
110	0.4671601789
111	0.4669716153
112	0.4667657331
113	0.4665903349
114	0.466381456
115	0.4661880265
116	0.4659993459
117	0.4658151045
118	0.4656904714
119	0.4655327982
120	0.4653687708
121	0.4651751466
122	0.4650525694
123	0.4649433179
124	0.4647896235
125	0.4646212714
126	0.4644723922
127	0.4642493696
128	0.4640380124
129	0.4638691017
130	0.4637558965
131	0.4635811202
132	0.4634379183
133	0.4632524077
134	0.4631114644
135	0.4629519992
136	0.4628084176
137	0.4626330297
138	0.4625162071
139	0.462390799
140	0.4622424845
141	0.4621106371
142	0.4619998672
143	0.4618827655
144	0.4617568324
145	0.4615375154
146	0.4614305942
147	0.4613397237
148	0.4612139004
149	0.4610793766
150	0.4609701275
151	0.4608834187
152	0.4607535414
153	0.4606502599
154	0.4605510363
155	0.4604410978
156	0.4603418379
157	0.46021641
158	0.4600728239
159	0.4599341307
160	0.4598586908
161	0.4596536676
162	0.4595470085
163	0.4594412164
164	0.4593268421
165	0.4591665573
166	0.459098797
167	0.4590077943
168	0.4588906332
169	0.4588094474
170	0.4587342216
171	0.4586604244
172	0.4585811297
173	0.4584828672
174	0.4583700143
175	0.4581548554
176	0.4580766179
177	0.4579641511
178	0.4577850561
179	0.4576197027
180	0.4575466616
181	0.4574485871
182	0.4573509467
183	0.4572264396
184	0.4571131013
185	0.4570543611
186	0.4569618932
187	0.4568308327
188	0.4567511875
189	0.4566103334
190	0.4565589442
191	0.4564596479
192	0.4563930995
193	0.4562980714
194	0.4561329068
195	0.4560568495
196	0.4559392896
197	0.4558280841
198	0.4557391036
199	0.4556845185
200	0.4555434684
201	0.4554057721
202	0.4553204441
203	0.4552335091
204	0.4551692229
205	0.4550899731
206	0.4550285602
207	0.4549320126
208	0.4548531263
