iter	Passed	Remaining
0	83	41722
1	182	45402
2	268	44402
3	346	42921
4	433	42917
5	513	42255
6	591	41683
7	669	41144
8	752	41045
9	825	40438
10	902	40130
11	984	40042
12	1073	40229
13	1173	40746
14	1261	40795
15	1337	40473
16	1421	40395
17	1546	41413
18	1635	41410
19	1725	41415
20	1807	41224
21	1888	41030
22	1965	40764
23	2045	40562
24	2125	40384
25	2208	40271
26	2294	40196
27	2375	40038
28	2468	40088
29	2555	40042
30	2632	39828
31	2711	39654
32	2793	39536
33	2874	39398
34	2955	39259
35	3034	39113
36	3119	39033
37	3207	38998
38	3308	39109
39	3389	38984
40	3478	38942
41	3569	38919
42	3665	38961
43	3741	38771
44	3820	38627
45	3904	38539
46	3984	38400
47	4068	38315
48	4157	38264
49	4241	38173
50	4315	37990
51	4412	38013
52	4508	38026
53	4584	37863
54	4669	37782
55	4748	37648
56	4827	37518
57	4913	37443
58	5000	37373
59	5089	37320
60	5178	37269
61	5263	37185
62	5347	37093
63	5419	36919
64	5500	36813
65	5583	36718
66	5674	36672
67	5769	36653
68	5850	36542
69	5943	36513
70	6018	36363
71	6100	36265
72	6198	36254
73	6286	36187
74	6384	36178
75	6475	36124
76	6560	36040
77	6631	35875
78	6720	35814
79	6802	35711
80	6882	35600
81	6961	35485
82	7041	35377
83	7125	35288
84	7207	35188
85	7293	35108
86	7368	34979
87	7437	34823
88	7516	34712
89	7594	34598
90	7680	34517
91	7871	34906
92	7964	34854
93	8039	34724
94	8126	34643
95	8217	34583
96	8298	34478
97	8368	34328
98	8450	34227
99	8536	34147
100	8614	34031
101	8688	33903
102	8770	33803
103	8852	33707
104	8933	33607
105	9015	33509
106	9106	33445
107	9192	33365
108	9281	33295
109	9365	33205
110	9460	33153
111	9541	33053
112	9627	32971
113	9707	32868
114	9783	32751
115	9869	32673
116	9959	32601
117	10051	32539
118	10131	32437
119	10217	32356
120	10311	32296
121	10409	32251
122	10492	32159
123	10570	32052
124	10649	31949
125	10742	31886
126	10813	31760
127	10904	31689
128	10975	31566
129	11058	31475
130	11143	31387
131	11239	31333
132	11326	31254
133	11408	31161
134	11491	31069
135	11567	30960
136	11655	30883
137	11749	30820
138	11828	30720
139	11923	30660
140	12012	30585
141	12119	30554
142	12224	30518
143	12304	30419
144	12391	30338
145	12486	30276
146	12567	30179
147	12649	30085
148	12724	29976
149	12811	29893
150	12888	29788
151	12970	29694
152	13062	29625
153	13144	29532
154	13243	29477
155	13324	29381
156	13412	29301
157	13500	29222
158	13586	29138
159	13668	29045
160	13746	28944
161	13838	28873
162	13920	28780
163	14002	28687
164	14089	28605
165	14177	28526
166	14276	28467
167	14353	28364
168	14439	28281
169	14521	28187
170	14609	28107
171	14690	28014
172	14775	27927
173	14854	27831
174	14935	27737
175	15022	27654
176	15113	27579
177	15203	27502
178	15296	27430
179	15377	27337
180	15459	27245
181	15545	27161
182	15632	27078
183	15714	26987
184	15803	26908
185	15884	26815
186	15971	26732
187	16052	26640
188	16129	26541
189	16213	26454
190	16295	26362
191	16399	26307
192	16486	26224
193	16576	26145
194	16656	26052
195	16748	25977
196	16832	25889
197	16914	25798
198	17002	25718
199	17083	25625
200	17180	25556
201	17273	25482
202	17357	25395
203	17434	25296
204	17524	25218
205	17600	25119
206	17681	25027
207	17750	24919
208	17825	24818
209	17905	24727
210	17987	24637
211	18072	24550
212	18158	24466
213	18241	24378
214	18321	24286
215	18436	24240
216	18538	24176
217	18618	24084
218	18699	23993
219	18800	23928
220	18893	23852
221	19002	23795
222	19127	23759
223	19237	23703
224	19334	23630
225	19445	23575
226	19543	23503
227	19637	23427
228	19725	23343
229	19815	23261
230	19902	23177
231	19992	23094
232	20095	23028
233	20197	22959
234	20288	22878
235	20409	22831
236	20505	22755
237	20611	22690
238	20698	22603
239	20795	22527
240	20882	22442
